a|article
to kiss|verb
to kneel|verb
to knock|verb
to know|verb
to label|verb
to lack|verb
to land|verb
to last|verb
to laugh|verb
to launch|verb
to lay|verb
to lead|verb
to lean|verb
to leap|verb
to learn|verb
to leave|verb
to lend|verb
to let|verb
to lie|verb
to lift|verb
to light|verb
to like|verb
to limit|verb
to line|verb
to link|verb
to list|verb
to listen|verb
to live|verb
to load|verb
to locate|verb
to lock|verb
to look|verb
to lose|verb
to love|verb
to lower|verb
to maintain|verb
to make|verb
to manage|verb
to manipulate|verb
to march|verb
to mark|verb
to market|verb
to marry|verb
to match|verb
to matter|verb
to mean|verb
to measure|verb
to meet|verb
to melt|verb
to mention|verb
to mind|verb
to minimize|verb
to miss|verb
to mix|verb
to model|verb
to modify|verb
to monitor|verb
to motivate|verb
to mount|verb
to move|verb
to murder|verb
to mutter|verb
to name|verb
to need|verb
to negotiate|verb
to nod|verb
to note|verb
to notice|verb
to object|verb
to observe|verb
to obtain|verb
to occupy|verb
to occur|verb
to offer|verb
to open|verb
to operate|verb
to oppose|verb
to opt|verb
to order|verb
to organize|verb
to outline|verb
to overcome|verb
to overlook|verb
to oversee|verb
to overwhelm|verb
to owe|verb
to own|verb
to pack|verb
to paint|verb
to park|verb
to participate|verb
to pass|verb
to pat|verb
to pause|verb
to pay|verb
to peel|verb
to peer|verb
to perceive|verb
to perform|verb
to permit|verb
to persist|verb
to persuade|verb
to photograph|verb
to pick|verb
to picture|verb
to pile|verb
to pitch|verb
to place|verb
to plan|verb
to plant|verb
to play|verb
to plead|verb
to please|verb
to plunge|verb
to point|verb
to poke|verb
to pop|verb
to portray|verb
to pose|verb
to position|verb
to possess|verb
to post|verb
to pound|verb
to pour|verb
to practice|verb
to praise|verb
to pray|verb
to preach|verb
to predict|verb
to prefer|verb
to prepare|verb
to present|verb
to preserve|verb
to press|verb
to pretend|verb
to prevail|verb
to prevent|verb
to print|verb
to proceed|verb
to process|verb
to proclaim|verb
to produce|verb
to program|verb
to prohibit|verb
to project|verb
to promise|verb
to promote|verb
to prompt|verb
to propose|verb
to protect|verb
to protest|verb
to prove|verb
to provide|verb
to provoke|verb
to publish|verb
to pull|verb
to pump|verb
to punch|verb
to punish|verb
to purchase|verb
to pursue|verb
to push|verb
to put|verb
to qualify|verb
to question|verb
to quit|verb
to quote|verb
to race|verb
to rain|verb
to raise|verb
to range|verb
to rank|verb
to rate|verb
to reach|verb
to react|verb
to read|verb
to realize|verb
to rebuild|verb
to recall|verb
to receive|verb
to recognize|verb
to recommend|verb
to record|verb
to recover|verb
to recruit|verb
to reduce|verb
to refer|verb
to reflect|verb
to refuse|verb
to regain|verb
to regard|verb
to register|verb
to regret|verb
to regulate|verb
to reinforce|verb
to reject|verb
to relate|verb
to relax|verb
to release|verb
to relieve|verb
to rely|verb
to remain|verb
to remark|verb
to remember|verb
to remind|verb
to remove|verb
to render|verb
to rent|verb
to repair|verb
to repeat|verb
to replace|verb
to reply|verb
to report|verb
to represent|verb
to request|verb
to require|verb
to rescue|verb
to research|verb
to resemble|verb
to reserve|verb
to resign|verb
to resist|verb
to resolve|verb
to respect|verb
to respond|verb
to rest|verb
to restore|verb
to restrict|verb
to result|verb
to resume|verb
to retain|verb
to retire|verb
to return|verb
to reveal|verb
to reverse|verb
to review|verb
to reward|verb
to rid|verb
to ride|verb
to ring|verb
to rip|verb
to rise|verb
to risk|verb
to rock|verb
to roll|verb
to root|verb
to round|verb
to rub|verb
to ruin|verb
to rule|verb
to run|verb
to rush|verb
to sacrifice|verb
to sail|verb
to satisfy|verb
to save|verb
to say|verb
to scan|verb
to scare|verb
to scatter|verb
to schedule|verb
to score|verb
to scramble|verb
to scratch|verb
to scream|verb
to screen|verb
to screw|verb
to seal|verb
to search|verb
to seat|verb
to secure|verb
to see|verb
to seek|verb
to seem|verb
to seize|verb
to select|verb
to sell|verb
to send|verb
to sense|verb
to separate|verb
to serve|verb
to set|verb
to settle|verb
to shake|verb
to shall|verb
to shape|verb
to share|verb
to shed|verb
to shift|verb
to shine|verb
to ship|verb
to shock|verb
to shoot|verb
to shop|verb
to shout|verb
to shove|verb
to show|verb
to shrink|verb
to shrug|verb
to shut|verb
to sigh|verb
to sign|verb
to signal|verb
to sing|verb
to sink|verb
to sit|verb
to skip|verb
to slam|verb
to slap|verb
to sleep|verb
to slice|verb
to slide|verb
to slip|verb
to slow|verb
to smell|verb
to smile|verb
to smoke|verb
to snap|verb
to sneak|verb
to soak|verb
to soar|verb
to soften|verb
to solve|verb
to sort|verb
to sound|verb
to spare|verb
to spark|verb
to speak|verb
to specialize|verb
to specify|verb
to speculate|verb
to speed|verb
to spell|verb
to spend|verb
to spill|verb
to spin|verb
to spit|verb
to split|verb
to sponsor|verb
to spot|verb
to spread|verb
to spring|verb
to sprinkle|verb
to squeeze|verb
to stand|verb
to star|verb
to stare|verb
to start|verb
to state|verb
to stay|verb
to steal|verb
to steer|verb
to stem|verb
to step|verb
to stick|verb
to stimulate|verb
to stir|verb
to stop|verb
to store|verb
to straighten|verb
to strain|verb
to strengthen|verb
to stress|verb
to stretch|verb
to strike|verb
to strip|verb
to struggle|verb
to study|verb
to stuff|verb
to stumble|verb
to submit|verb
to succeed|verb
to suck|verb
to sue|verb
to suffer|verb
to suggest|verb
to suit|verb
to supply|verb
to support|verb
to suppose|verb
to surprise|verb
to surround|verb
to survey|verb
to survive|verb
to suspect|verb
to suspend|verb
to sustain|verb
to swallow|verb
to swear|verb
to sweep|verb
to swell|verb
to swim|verb
to swing|verb
to switch|verb
to tackle|verb
to take|verb
to talk|verb
to tap|verb
to target|verb
to taste|verb
to teach|verb
to tear|verb
to tell|verb
to tend|verb
to test|verb
to testify|verb
to thank|verb
to think|verb
to threaten|verb
to thrive|verb
to throw|verb
to tie|verb
to tighten|verb
to tip|verb
to tire|verb
to tolerate|verb
to top|verb
to toss|verb
to touch|verb
to trace|verb
to track|verb
to trade|verb
to trail|verb
to train|verb
to transfer|verb
to transform|verb
to translate|verb
to transmit|verb
to transport|verb
to trap|verb
to travel|verb
to treat|verb
to trigger|verb
to trim|verb
to trouble|verb
to trust|verb
to try|verb
to tuck|verb
to tune|verb
to turn|verb
to twist|verb
to uncover|verb
to undergo|verb
to undermine|verb
to understand|verb
to undertake|verb
to unfold|verb
to unite|verb
to update|verb
to upset|verb
to urge|verb
to use|verb
to utilize|verb
to value|verb
to vanish|verb
to vary|verb
to view|verb
to violate|verb
to visit|verb
to volunteer|verb
to vote|verb
to wait|verb
to wake|verb
to walk|verb
to wander|verb
to want|verb
to warm|verb
to warn|verb
to wash|verb
to waste|verb
to watch|verb
to wave|verb
to weaken|verb
to wear|verb
to weave|verb
to weigh|verb
to welcome|verb
to whip|verb
to whisper|verb
to win|verb
to wind|verb
to wipe|verb
to wish|verb
to withdraw|verb
to witness|verb
to wonder|verb
to work|verb
to worry|verb
to wound|verb
to wrap|verb
to write|verb
to yell|verb
to yield|verb
tobacco|noun
today|adverb
toe|noun
together|adverb
toilet|noun
tolerance|noun
toll|noun
tomato|noun
tomorrow|adverb
tone|noun
tongue|noun
tonight|adverb
too|adverb
tool|noun
tooth|noun
top|noun
top|adjective
top|preposition
topic|noun
total|adjective
total|noun
totally|adverb
touch|noun
touchdown|noun
tough|adjective
tour|noun
tourism|noun
tourist|noun
tournament|noun
toward|preposition
towards|preposition
towel|noun
tower|noun
town|noun
toxic|adjective
toy|noun
trace|noun
track|noun
trade|noun
trading|noun
tradition|noun
traditional|adjective
traditionally|adverb
traffic|noun
tragedy|noun
tragic|adjective
trail|noun
trailer|noun
train|noun
trainer|noun
training|noun
trait|noun
transaction|noun
transfer|noun
transformation|noun
transit|noun
transition|noun
translation|noun
transmission|noun
transport|noun
transportation|noun
trap|noun
trash|noun
trauma|noun
travel|noun
traveler|noun
tray|noun
treasure|noun
treatment|noun
treaty|noun
tree|noun
tremendous|adjective
trend|noun
trial|noun
tribal|adjective
tribe|noun
trick|noun
trip|noun
triumph|noun
troop|noun
tropical|adjective
trouble|noun
troubled|adjective
truck|noun
true |adjective
truly|adverb
trunk|noun
trust|noun
truth|noun
tube|noun
tumor|noun
tune|noun
tunnel|noun
turkey|noun
turn|noun
TV|noun
twelve|number
twentieth|number
twenty|number
twice|adverb
twin|noun
twist|noun
two|number
two-thirds|number
type|noun
typical|adjective
typically|adverb
ugly|adjective
uh|u
ultimate|adjective
ultimately|adverb
unable|adjective
uncertain|adjective
uncertainty|noun
uncle|noun
uncomfortable|adjective
under|preposition
under|adverb
undergraduate|noun
underlying|adjective
understanding|noun
unemployment|noun
unexpected|adjective
unfair|adjective
unfortunately|adverb
unhappy|adjective
uniform|noun
union|noun
unique|adjective
unit|noun
United|adjective
unity|noun
universal|adjective
universe|noun
university|noun
unknown|adjective
unless|conjunction
unlike|preposition
unlike|adjective
unlikely|adjective
unprecedented|adjective
until|conjunction
until|preposition
unusual|adjective
up|adverb
up|preposition
upon|preposition
upper|adjective
upset|adjective
upstairs|adverb
urban|adjective
us|pronoun
use|noun
used|adjective
useful|adjective
user|noun
usual|adjective
usually|adverb
utility|noun
vacation|noun
vaccine|noun
vacuum|noun
valid|adjective
validity|noun
valley|noun
valuable|adjective
value|noun
van|noun
variable|noun
variation|noun
variety|noun
various|adjective
vast|adjective
vegetable|noun
vehicle|noun
vendor|noun
venture|noun
verbal|adjective
verdict|noun
version|noun
versus|preposition
vertical|adjective
very|adverb
very|adjective
vessel|noun
veteran|noun
veteran|adjective
via|preposition
victim|noun
victory|noun
video|noun
view|noun
viewer|noun
village|noun
violation|noun
violence|noun
violent|adjective
virtual|adjective
virtually|adverb
virtue|noun
virus|noun
visible|adjective
vision|noun
visit|noun
visitor|noun
visual|adjective
vital|adjective
vitamin|noun
vocal|adjective
voice|noun
volume|noun
voluntary|adjective
volunteer|noun
vote|noun
voter|noun
voting|noun
vs|preposition
vulnerable|adjective
wage|noun
wagon|noun
waist|noun
wake|noun
walk|noun
walking|noun
wall|noun
war|noun
warehouse|noun
warm|adjective
warmth|noun
warning|noun
warrior|noun
waste|noun
watch|noun
water|noun
wave|noun
way|noun
way|adverb
we|pronoun
weak|adjective
weakness|noun
wealth|noun
wealthy|adjective
weapon|noun
weather|noun
web|noun
wedding|noun
weed|noun
week|noun
weekend|noun
weekly|adjective
weight|noun
weird|adjective
welcome|adjective
welfare|noun
well|adverb
well|preposition
well-being|noun
well-known|adjective
west|noun
western|adjective
wet|adjective
whale|noun
what|determiner
whatever|determiner
wheat|noun
wheel|noun
wheelchair|noun
when|conjunction
when|adverb
whenever|adverb
where|conjunction
where|adverb
whereas|conjunction
wherever|adverb
whether|conjunction
which|determiner
while|conjunction
while|noun
white|adjective
white|noun
who|pronoun
whoever|pronoun
whole|adjective
whole|noun
whom|pronoun
whose|determiner
why|adverb
wide|adjective
widely|adverb
widespread|adjective
widow|noun
wife|noun
wild|adjective
wilderness|noun
wildlife|noun
will|verb modal
will|noun
willing|adjective
willingness|noun
win|noun
wind|noun
window|noun
wine|noun
wing|noun
winner|noun
winter|noun
wire|noun
wisdom|noun
wise|adjective
wish|noun
with|preposition
withdrawal|noun
within|preposition
within|adverb
without|preposition
witness|noun
wolf|noun
woman|noun
wonder|noun
wonderful|adjective
wood|noun
wooden|adjective
word|noun
work|noun
worker|noun
working|adjective
workout|noun
workplace|noun
works|noun
workshop|noun
world|noun
worldwide|adverb
worldwide|adjective
worried|adjective
worry|noun
worth|preposition
worth|noun
would|verb modal
wound|noun
wow|u
wrist|noun
writer|noun
writing|noun
written|adjective
wrong|adjective
wrong|adverb
yard|noun
yeah|u
year|noun
yellow|adjective
yes|u
yesterday|adverb
yet|adverb
yield|noun
you|pronoun
young|adjective
youngster|noun
your|article
yours|pronoun
yourself|pronoun
youth|noun
zone|noun
